model,protein_name,run_idx,valid_num,unique_raw_num,novelty_gxvaes_percent,max_tanimoto_gxvaes
Tx2Mol-original-replay-20260925,AKT1,0,94,88,80.68181818181819,0.7428571428571429
Tx2Mol-original-replay-20260925,AKT1,1,95,90,77.77777777777777,1.0
Tx2Mol-original-replay-20260925,AKT1,2,95,94,86.17021276595744,1.0
Tx2Mol-original-replay-20260925,AKT1,3,97,89,80.89887640449439,0.7777777777777778
Tx2Mol-original-replay-20260925,AKT1,4,98,89,84.26966292134831,0.6774193548387096
Tx2Mol-original-replay-20260925,AKT1,5,97,95,87.36842105263158,0.7796610169491526
Tx2Mol-original-replay-20260925,AKT1,6,95,85,81.17647058823529,1.0
Tx2Mol-original-replay-20260925,AKT1,7,94,91,81.31868131868131,1.0
Tx2Mol-original-replay-20260925,AKT1,8,97,94,85.1063829787234,0.6774193548387096
Tx2Mol-original-replay-20260925,AKT1,9,97,91,89.01098901098901,1.0
Tx2Mol-original-replay-20260925,AKT2,0,92,90,90.0,0.7796610169491526
Tx2Mol-original-replay-20260925,AKT2,1,98,95,75.78947368421052,1.0
Tx2Mol-original-replay-20260925,AKT2,2,96,91,76.92307692307692,1.0
Tx2Mol-original-replay-20260925,AKT2,3,98,96,84.375,0.7346938775510204
Tx2Mol-original-replay-20260925,AKT2,4,94,92,82.6086956521739,1.0
Tx2Mol-original-replay-20260925,AKT2,5,95,93,80.64516129032258,0.8571428571428571
Tx2Mol-original-replay-20260925,AKT2,6,98,97,88.65979381443299,0.8076923076923077
Tx2Mol-original-replay-20260925,AKT2,7,94,91,79.12087912087912,0.8076923076923077
Tx2Mol-original-replay-20260925,AKT2,8,98,97,80.41237113402062,1.0
Tx2Mol-original-replay-20260925,AKT2,9,99,98,81.63265306122449,1.0
Tx2Mol-original-replay-20260925,AURKB,0,96,88,82.95454545454545,0.8450704225352113
Tx2Mol-original-replay-20260925,AURKB,1,94,92,84.78260869565217,1.0
Tx2Mol-original-replay-20260925,AURKB,2,96,94,89.36170212765957,1.0
Tx2Mol-original-replay-20260925,AURKB,3,99,90,82.22222222222223,1.0
Tx2Mol-original-replay-20260925,AURKB,4,93,90,84.44444444444444,1.0
Tx2Mol-original-replay-20260925,AURKB,5,93,87,80.45977011494253,1.0
Tx2Mol-original-replay-20260925,AURKB,6,96,95,84.21052631578948,0.8450704225352113
Tx2Mol-original-replay-20260925,AURKB,7,96,91,87.91208791208791,1.0
Tx2Mol-original-replay-20260925,AURKB,8,96,93,83.87096774193549,1.0
Tx2Mol-original-replay-20260925,AURKB,9,97,93,83.87096774193549,1.0
Tx2Mol-original-replay-20260925,CTSK,0,97,95,86.3157894736842,0.45652173913043476
