target,run_idx,max_tanimoto,best_group_1based
AKT1,1,1.0,2
AKT2,1,1.0,2
AURKB,1,1.0,2
CTSK,3,0.4807692307692308,4
EGFR,3,1.0,4
HDAC1,3,0.84375,4
MTOR,1,0.8805970149253731,2
PIK3CA,8,1.0,9
SMAD3,4,1.0,5
TP53,2,1.0,3
